n_iters,area
1,5.745024
3,3.9915648
5,2.7582912
7,2.3162111999999997
9,2.0934144
11,1.9628928
13,1.8718848
15,1.826784
17,1.7761536
19,1.7368128
21,1.7136576
23,1.6890623999999999
25,1.6804223999999999
27,1.6705151999999999
29,1.6497216
31,1.6416575999999998
33,1.633536
35,1.6245504
37,1.6216704
39,1.6083072
41,1.5909119999999999
43,1.6039872
45,1.6047936
47,1.593504
49,1.5907392
51,1.5848064
53,1.5798528
55,1.5822143999999998
57,1.5799679999999998
59,1.570176
61,1.5685632
63,1.5810624
65,1.5700607999999998
67,1.5593472
69,1.5630335999999998
71,1.562976
73,1.5631488
75,1.5585407999999998
77,1.562976
79,1.5622272
81,1.5476543999999999
83,1.5537599999999998
85,1.5489792
87,1.5634368
89,1.5518592
91,1.5524352
93,1.547136
95,1.5430464000000002
97,1.5508224
99,1.550016
101,1.5412607999999999
103,1.5340032
105,1.5452352
107,1.5440256
109,1.5390144
111,1.5493824
113,1.5458112
115,1.5524352
117,1.5504767999999998
119,1.5438527999999998
121,1.5412031999999998
123,1.5408576
125,1.5422976
127,1.5360192000000001
129,1.5407424
131,1.5337728
133,1.5387263999999998
135,1.536768
137,1.5298559999999999
139,1.5314688
141,1.5463295999999997
143,1.533888
145,1.5329087999999997
147,1.5428159999999997
149,1.5423552
151,1.528704
153,1.5404544
155,1.5256512
157,1.5311808
159,1.528704
161,1.5326784
163,1.5313535999999999
165,1.5248448000000001
167,1.5306623999999998
169,1.5335999999999999
171,1.5277823999999998
173,1.5339455999999998
175,1.5291071999999999
177,1.53216
179,1.5253055999999998
181,1.5296831999999998
183,1.5329087999999997
185,1.5201215999999997
187,1.5224255999999998
189,1.51776
191,1.524096
193,1.5319871999999999
195,1.5319871999999999
197,1.525824
199,1.525248
201,1.5292223999999999
203,1.5314112
205,1.5222528
207,1.5261695999999998
209,1.5272063999999999
211,1.5289344
213,1.5248448000000001
215,1.5292223999999999
217,1.5212736
219,1.518336
221,1.514304
223,1.5232320000000001
225,1.5215616
227,1.5254784000000001
229,1.5292223999999999
231,1.5264576
233,1.5153408
235,1.5270912
237,1.5147072
239,1.5291648
241,1.5230015999999997
243,1.5204095999999998
245,1.5220799999999999
247,1.5205824
249,1.5223104
251,1.5223104
253,1.5205248
255,1.5230591999999998
