n_iters,area
1,5.73696
3,3.95136
5,2.71296
7,2.4192
9,2.11392
11,1.88928
13,1.76832
15,1.57248
17,1.74528
19,1.6415999999999997
21,1.74528
23,1.6934399999999998
25,1.6243199999999998
27,1.6300799999999998
29,1.73376
31,1.6991999999999998
33,1.76256
35,1.6991999999999998
37,1.5494400000000002
39,1.45728
41,1.7222399999999998
43,1.7222399999999998
45,1.6761599999999999
47,1.5264
49,1.58976
51,1.50336
53,1.57248
55,1.59552
57,1.50912
59,1.5552000000000001
61,1.7107199999999998
63,1.6761599999999999
65,1.49184
67,1.53792
69,1.6300799999999998
71,1.46304
73,1.46304
75,1.54368
77,1.61856
79,1.50912
81,1.5609600000000001
83,1.4745599999999999
85,1.6703999999999999
87,1.7107199999999998
89,1.53792
91,1.53216
93,1.5264
95,1.57824
97,1.5494400000000002
99,1.59552
101,1.6703999999999999
103,1.5494400000000002
105,1.50912
107,1.5667200000000001
109,1.46304
111,1.3766399999999999
113,1.58976
115,1.45152
117,1.58976
119,1.53792
121,1.49184
123,1.51488
125,1.57824
127,1.4745599999999999
129,1.4112
131,1.4745599999999999
133,1.5552000000000001
135,1.5494400000000002
137,1.3939199999999998
139,1.5552000000000001
141,1.5609600000000001
143,1.50912
145,1.53216
147,1.50912
149,1.57824
151,1.45152
153,1.4976
155,1.57248
157,1.43424
159,1.45728
161,1.48032
163,1.53792
165,1.5667200000000001
167,1.52064
169,1.54368
171,1.584
173,1.60704
175,1.60128
177,1.5494400000000002
179,1.57824
181,1.4745599999999999
183,1.43424
185,1.6819199999999999
187,1.45152
189,1.5552000000000001
191,1.57824
193,1.584
195,1.50912
197,1.59552
199,1.52064
201,1.50912
203,1.6128
205,1.54368
207,1.4687999999999999
209,1.51488
211,1.60128
213,1.5494400000000002
215,1.50336
217,1.584
219,1.54368
221,1.60704
223,1.5552000000000001
225,1.4976
227,1.50336
229,1.4687999999999999
231,1.5494400000000002
233,1.3823999999999999
235,1.6128
237,1.6531199999999997
239,1.54368
241,1.6531199999999997
243,1.5264
245,1.53792
247,1.6991999999999998
249,1.5494400000000002
251,1.584
253,1.50912
255,1.36512
