n_iters,area
1,5.7024
3,4.1472
5,3.0528
7,2.4192
9,2.0736
11,1.9584000000000001
13,1.8432
15,1.6128
17,2.1311999999999998
19,1.5552000000000001
21,1.7855999999999999
23,1.6703999999999999
25,1.6703999999999999
27,1.3248
29,2.016
31,1.6703999999999999
33,1.44
35,1.728
37,1.7855999999999999
39,1.5552000000000001
41,1.6703999999999999
43,1.3248
45,1.8432
47,1.5552000000000001
49,1.6703999999999999
51,1.3248
53,1.44
55,1.4976
57,1.6703999999999999
59,1.6703999999999999
61,1.6128
63,1.2671999999999999
65,1.4976
67,1.4976
69,1.5552000000000001
71,1.728
73,1.44
75,1.5552000000000001
77,1.5552000000000001
79,1.3248
81,1.4976
83,1.3823999999999999
85,1.6703999999999999
87,1.5552000000000001
89,1.5552000000000001
91,1.5552000000000001
93,1.728
95,1.3248
97,1.2671999999999999
99,1.7855999999999999
101,1.728
103,1.4976
105,1.2096
107,1.8432
109,1.3248
111,1.6703999999999999
113,1.44
115,1.2096
117,1.4976
119,1.3823999999999999
121,1.6128
123,1.2671999999999999
125,1.2671999999999999
127,1.6128
129,1.2671999999999999
131,1.5552000000000001
133,1.2671999999999999
135,1.6128
137,1.44
139,1.6128
141,1.6128
143,1.5552000000000001
145,1.44
147,1.728
149,1.44
151,1.5552000000000001
153,1.7855999999999999
155,1.3823999999999999
157,1.6703999999999999
159,1.6128
161,1.3248
163,1.6128
165,1.3823999999999999
167,1.44
169,1.5552000000000001
171,1.7855999999999999
173,1.5552000000000001
175,1.44
177,1.44
179,1.728
181,1.9008
183,1.3823999999999999
185,1.6128
187,1.44
189,1.7855999999999999
191,1.4976
193,1.9008
195,1.3823999999999999
197,1.3248
199,1.3823999999999999
201,1.3823999999999999
203,1.44
205,1.4976
207,1.44
209,1.5552000000000001
211,1.3823999999999999
213,1.3823999999999999
215,1.3248
217,1.5552000000000001
219,1.2671999999999999
221,1.6128
223,1.44
225,1.2671999999999999
227,1.3248
229,1.6128
231,1.44
233,1.6128
235,1.6128
237,1.3248
239,1.3248
241,1.4976
243,1.6128
245,1.4976
247,1.4976
249,1.6128
251,1.728
253,1.6128
255,1.4976
