n_iters,area
1,5.747904
3,4.0032
5,2.7728639999999998
7,2.31264
9,2.057472
11,1.9779839999999997
13,1.865664
15,1.839744
17,1.7775359999999998
19,1.7424
21,1.6859520000000001
23,1.680768
25,1.662336
27,1.678464
29,1.656
31,1.6191360000000001
33,1.6577279999999999
35,1.636992
37,1.623168
39,1.6439039999999998
41,1.6179839999999999
43,1.600128
45,1.636992
47,1.60416
49,1.6128
51,1.59264
53,1.5799679999999998
55,1.58976
57,1.578816
59,1.547136
61,1.582272
63,1.54656
65,1.58112
67,1.5863039999999997
69,1.543104
71,1.559232
73,1.567872
75,1.550016
77,1.561536
79,1.539072
81,1.555776
83,1.556352
85,1.5632639999999998
87,1.5598079999999999
89,1.547136
91,1.5569279999999999
93,1.531584
95,1.540224
97,1.584576
99,1.5131519999999998
101,1.553472
103,1.52064
105,1.53216
107,1.5264
109,1.5298559999999999
111,1.536192
113,1.550592
115,1.53792
117,1.5264
119,1.54656
121,1.547136
123,1.547712
125,1.53792
127,1.5327359999999999
129,1.5217919999999998
131,1.5275519999999998
133,1.524096
135,1.5690239999999998
137,1.5056640000000001
139,1.53216
141,1.52352
143,1.5217919999999998
145,1.5304319999999998
147,1.52352
149,1.5626879999999999
151,1.528704
153,1.5540479999999999
155,1.539648
157,1.5552000000000001
159,1.552896
161,1.541952
163,1.520064
165,1.525824
167,1.533312
169,1.5022079999999998
171,1.52352
173,1.5131519999999998
175,1.5264
177,1.5482879999999999
179,1.5575039999999998
181,1.539072
183,1.53792
185,1.5217919999999998
187,1.4883840000000002
189,1.51488
191,1.528128
193,1.5269759999999999
195,1.5073919999999998
197,1.512
199,1.5275519999999998
201,1.54368
203,1.541376
205,1.5137279999999997
207,1.51488
209,1.520064
211,1.50624
213,1.53792
215,1.511424
217,1.522944
219,1.4970240000000001
221,1.5246719999999998
223,1.5269759999999999
225,1.506816
227,1.50336
229,1.52352
231,1.5540479999999999
233,1.49472
235,1.51776
237,1.539648
239,1.5056640000000001
241,1.518336
243,1.5045119999999998
245,1.51488
247,1.5304319999999998
249,1.5356159999999999
251,1.515456
253,1.52064
255,1.517184
