n_iters,area
1,5.76
3,4.032
5,2.7072
7,2.2464
9,2.1311999999999998
11,2.0736
13,1.7855999999999999
15,1.7855999999999999
17,1.7855999999999999
19,1.6703999999999999
21,1.6703999999999999
23,1.728
25,1.5552000000000001
27,1.5552000000000001
29,1.6703999999999999
31,1.44
33,1.5552000000000001
35,1.6128
37,1.6128
39,1.6128
41,1.5552000000000001
43,1.5552000000000001
45,1.6703999999999999
47,1.5552000000000001
49,1.5552000000000001
51,1.6703999999999999
53,1.6128
55,1.5552000000000001
57,1.6703999999999999
59,1.6703999999999999
61,1.3823999999999999
63,1.6128
65,1.5552000000000001
67,1.5552000000000001
69,1.44
71,1.6128
73,1.6703999999999999
75,1.6128
77,1.6128
79,1.6128
81,1.2671999999999999
83,1.5552000000000001
85,1.6703999999999999
87,1.5552000000000001
89,1.5552000000000001
91,1.4976
93,1.5552000000000001
95,1.5552000000000001
97,1.6128
99,1.5552000000000001
101,1.6128
103,1.5552000000000001
105,1.3248
107,1.6703999999999999
109,1.6128
111,1.3248
113,1.3248
115,1.5552000000000001
117,1.4976
119,1.5552000000000001
121,1.6703999999999999
123,1.3823999999999999
125,1.6703999999999999
127,1.728
129,1.6128
131,1.5552000000000001
133,1.5552000000000001
135,1.3823999999999999
137,1.3823999999999999
139,1.44
141,1.6128
143,1.3248
145,1.6703999999999999
147,1.5552000000000001
149,1.4976
151,1.5552000000000001
153,1.6703999999999999
155,1.6703999999999999
157,1.44
159,1.6128
161,1.6128
163,1.44
165,1.6128
167,1.44
169,1.6703999999999999
171,1.4976
173,1.7855999999999999
175,1.4976
177,1.5552000000000001
179,1.5552000000000001
181,1.4976
183,1.6703999999999999
185,1.6128
187,1.5552000000000001
189,1.3823999999999999
191,1.6703999999999999
193,1.5552000000000001
195,1.44
197,1.7855999999999999
199,1.3823999999999999
201,1.4976
203,1.6703999999999999
205,1.3823999999999999
207,1.3248
209,1.4976
211,1.3248
213,1.6703999999999999
215,1.7855999999999999
217,1.728
219,1.6703999999999999
221,1.728
223,1.4976
225,1.6128
227,1.44
229,1.5552000000000001
231,1.5552000000000001
233,1.6128
235,1.6703999999999999
237,1.4976
239,1.44
241,1.5552000000000001
243,1.5552000000000001
245,1.728
247,1.6128
249,1.3823999999999999
251,1.6703999999999999
253,1.3248
255,1.5552000000000001
