method,mean,std,err
Pure Random,1.5212274047999998,0.0026169877506848666,0.000165512838018501
Latin Hypercube,1.52139898368,0.0015968233712766082,0.00010099197748445552
Orthogonal,1.52135064576,0.0002412818983853137,0.00001522819492841877
