n_iters,area
1,5.7456000000000005
3,3.984768
5,2.767104
7,2.316672
9,2.09088
11,1.9584000000000001
13,1.8737279999999998
15,1.8190080000000002
17,1.773504
19,1.738368
21,1.711872
23,1.686528
25,1.685376
27,1.659456
29,1.66464
31,1.6387199999999997
33,1.628352
35,1.6128
37,1.6237439999999999
39,1.619712
41,1.617408
43,1.59552
45,1.6024319999999999
47,1.57536
49,1.579392
51,1.584576
53,1.5770879999999998
55,1.5828479999999998
57,1.581696
59,1.582272
61,1.5661439999999998
63,1.564992
65,1.5632639999999998
67,1.5638400000000001
69,1.561536
71,1.5632639999999998
73,1.561536
75,1.5546239999999998
77,1.559232
79,1.556352
81,1.5580800000000001
83,1.558656
85,1.553472
87,1.5523200000000001
89,1.545408
91,1.5598079999999999
93,1.552896
95,1.540224
97,1.542528
99,1.539072
101,1.5523200000000001
103,1.540224
105,1.5408
107,1.544256
109,1.536768
111,1.536768
113,1.547136
115,1.539072
117,1.53504
119,1.536768
121,1.542528
123,1.536192
125,1.5356159999999999
127,1.542528
129,1.544256
131,1.536192
133,1.53792
135,1.537344
137,1.5384959999999999
139,1.52928
141,1.528704
143,1.52928
145,1.5327359999999999
147,1.533888
149,1.536768
151,1.536192
153,1.5304319999999998
155,1.53216
157,1.528704
159,1.528128
161,1.521216
163,1.531584
165,1.5264
167,1.53216
169,1.544832
171,1.5275519999999998
173,1.528704
175,1.53216
177,1.521216
179,1.5275519999999998
181,1.5356159999999999
183,1.51776
185,1.522944
187,1.52928
189,1.52928
191,1.5275519999999998
193,1.5304319999999998
195,1.52352
197,1.52352
199,1.5275519999999998
201,1.5275519999999998
203,1.5264
205,1.5298559999999999
207,1.5194879999999997
209,1.5246719999999998
211,1.5269759999999999
213,1.5275519999999998
215,1.5189119999999998
217,1.5327359999999999
219,1.52928
221,1.525824
223,1.5275519999999998
225,1.518336
227,1.52352
229,1.534464
231,1.5223679999999997
233,1.518336
235,1.522944
237,1.524096
239,1.5275519999999998
241,1.5246719999999998
243,1.5298559999999999
245,1.52352
247,1.528128
249,1.5217919999999998
251,1.52352
253,1.521216
255,1.521216
