n_iters,area
1,5.7458649600000005
3,3.9899750399999996
5,2.76572736
7,2.31487488
9,2.0918361599999997
11,1.96163136
13,1.8776102399999999
15,1.81873728
17,1.77591744
19,1.74261312
21,1.7170675199999998
23,1.6968959999999997
25,1.6797196799999998
27,1.66549248
29,1.65333888
31,1.64294784
33,1.63351296
35,1.6258982400000002
37,1.61838144
39,1.61299584
41,1.60680384
43,1.6019596799999998
45,1.59709248
47,1.59314112
49,1.5900767999999998
51,1.5860448
53,1.58306688
55,1.58001984
57,1.57821696
59,1.57450176
61,1.57234752
63,1.5706137599999999
65,1.5679180799999999
67,1.5666796799999998
69,1.563984
71,1.5627456
73,1.56146688
75,1.55974464
77,1.55832192
79,1.5571065599999998
81,1.555344
83,1.55470464
85,1.55291904
87,1.5527923199999998
89,1.55149632
91,1.549728
93,1.5486335999999998
95,1.5482419199999997
97,1.54721088
99,1.5463641599999998
101,1.54536768
103,1.545408
105,1.54420416
107,1.54350144
109,1.54272384
111,1.5412607999999999
113,1.5410707199999998
115,1.5405695999999998
117,1.5400684800000002
119,1.5391295999999999
121,1.53880704
123,1.5380467199999999
125,1.53773568
127,1.53705024
129,1.53690624
131,1.5363072
133,1.53606528
135,1.53549504
137,1.5347232
139,1.53446976
141,1.53401472
143,1.53335808
145,1.5334675199999999
147,1.53297792
149,1.53284544
151,1.5325401600000002
153,1.53141696
155,1.5314342399999998
157,1.5315552
159,1.53067392
161,1.5303859199999998
163,1.5303744
165,1.52963712
167,1.5299136
169,1.5294240000000001
171,1.52866944
173,1.5287500799999998
175,1.52866368
177,1.52883648
179,1.52807616
181,1.5279263999999997
183,1.5268896
185,1.5270393599999998
187,1.5272755199999999
189,1.5273043199999998
191,1.52652672
193,1.5264921599999999
195,1.5257087999999999
197,1.5263136000000002
199,1.52596224
201,1.5258700799999998
203,1.52531712
205,1.5247008000000002
207,1.52474112
209,1.52495424
211,1.52468928
213,1.5247583999999998
215,1.52371584
217,1.52451072
219,1.5238022399999998
221,1.52342208
223,1.52391744
225,1.52327808
227,1.5233932799999998
229,1.5225408
231,1.52260992
233,1.52285184
235,1.52247744
237,1.52241984
239,1.5221779199999999
241,1.52257536
243,1.52227584
245,1.52198784
247,1.52163072
249,1.52160192
251,1.52146368
253,1.52163648
255,1.5216998399999997
